.,1avn,1kar,1qfv,2x45,3rxh,6dyn,7a5v,7qn8,7qnd,8jt5,8pvb,8yn2,8yn5,1ike,1np1,1u18,3bu1,4xmf,6fu4,7dfl,7qn9,7yfc,8jxt,8tgk,8yn3,8yn9,1jqd,1qft,2qeb,3g7x,5rus,6qfa,7qn7,7qnc,8hn8,8pok,8ucn,8yn4,8yuu
8yn2.pdb,0.25947,0.30868,0.31829,0.31875,0.27854,0.31375,0.26322,0.26864,0.26926,0.24927,0.26829,1.0,0.8877,0.29249,0.29519,0.29646,0.32167,0.29804,0.28971,0.27648,0.25798,0.959,0.8591,0.25445,0.94614,0.89138,0.35419,0.31834,0.25201,0.31869,0.36796,0.25307,0.26118,0.26102,0.89341,0.26743,0.25961,0.97847,0.24702
8yn5.pdb,0.29034,0.3,0.30997,0.31162,0.24307,0.30951,0.28013,0.27051,0.26627,0.26204,0.24539,0.8877,1.0,0.30176,0.30573,0.30568,0.32133,0.297,0.34364,0.27573,0.26736,0.87585,0.92669,0.24816,0.84811,0.98852,0.357,0.26624,0.24843,0.31146,0.37364,0.27871,0.27073,0.26827,0.95334,0.24445,0.25147,0.86548,0.25993
1ike.pdb,0.28999,0.21318,0.64298,0.61527,0.29014,0.34597,0.22735,0.228,0.22994,0.18939,0.22645,0.29249,0.30176,1.0,0.96565,0.96108,0.61613,0.87572,0.23956,0.23207,0.21582,0.29201,0.27763,0.20253,0.30073,0.28957,0.26099,0.64267,0.29566,0.64893,0.33583,0.22578,0.22609,0.22434,0.30062,0.22251,0.21832,0.28971,0.23173
1np1.pdb,0.29947,0.21588,0.64644,0.61343,0.29592,0.34302,0.22444,0.22369,0.22475,0.20598,0.22146,0.29519,0.30573,0.96565,1.0,0.99252,0.6181,0.88115,0.24916,0.23347,0.22152,0.2974,0.29657,0.20408,0.28522,0.30285,0.25036,0.64854,0.28968,0.65422,0.33774,0.22673,0.22465,0.22,0.28969,0.22642,0.21735,0.27668,0.22687
1u18.pdb,0.2978,0.21638,0.64934,0.61293,0.29352,0.34238,0.23379,0.22097,0.22296,0.20352,0.21294,0.29646,0.30568,0.96108,0.99252,1.0,0.61851,0.87403,0.247,0.23601,0.21659,0.28973,0.29624,0.20339,0.30438,0.30355,0.25098,0.64539,0.29076,0.6512,0.33834,0.22699,0.22064,0.21886,0.30353,0.22363,0.22579,0.29849,0.22926
3bu1.pdb,0.25834,0.21474,0.73723,0.93077,0.30246,0.37992,0.24089,0.24308,0.24098,0.20683,0.24119,0.32167,0.32133,0.61613,0.6181,0.61851,1.0,0.60776,0.25815,0.20759,0.22618,0.32213,0.31338,0.20962,0.32152,0.31961,0.23219,0.73799,0.31049,0.74863,0.35113,0.21861,0.21988,0.22099,0.32365,0.20588,0.21363,0.32173,0.21579
4xmf.pdb,0.27234,0.21173,0.63456,0.60522,0.28702,0.33362,0.22337,0.22822,0.22358,0.222,0.22177,0.29804,0.297,0.87572,0.88115,0.87403,0.60776,1.0,0.2403,0.24309,0.20933,0.28652,0.29302,0.2085,0.29653,0.29902,0.23547,0.63404,0.26373,0.63903,0.34579,0.22915,0.22089,0.20721,0.28576,0.23153,0.21016,0.29806,0.2311
6fu4.pdb,0.22481,0.29928,0.25215,0.23202,0.23722,0.24682,0.21847,0.24669,0.24815,0.26129,0.24582,0.28971,0.34364,0.23956,0.24916,0.247,0.25815,0.2403,1.0,0.27728,0.25463,0.3133,0.32834,0.27491,0.31693,0.33655,0.27639,0.25047,0.24258,0.25891,0.25016,0.24589,0.25695,0.25268,0.33248,0.26003,0.26938,0.30684,0.27744
7dfl.pdb,0.26333,0.2089,0.23309,0.22346,0.24718,0.27738,0.29081,0.29186,0.29072,0.34188,0.28726,0.27648,0.27573,0.23207,0.23347,0.23601,0.20759,0.24309,0.27728,1.0,0.27141,0.27431,0.27454,0.32638,0.27364,0.26479,0.2691,0.23303,0.27477,0.23605,0.25028,0.28966,0.29588,0.29595,0.26349,0.85089,0.34385,0.27358,0.89328
7qn9.pdb,0.2532,0.23522,0.20381,0.24348,0.21932,0.24862,0.94779,0.95562,0.95864,0.25355,0.95321,0.25798,0.26736,0.21582,0.22152,0.21659,0.22618,0.20933,0.25463,0.27141,1.0,0.25602,0.27275,0.25508,0.25656,0.26126,0.25634,0.20877,0.20499,0.23571,0.23101,0.95062,0.97983,0.98127,0.22798,0.26519,0.22705,0.25479,0.27764
7yfc.pdb,0.27402,0.29792,0.31619,0.3155,0.24609,0.28533,0.25332,0.23269,0.24938,0.26286,0.25657,0.959,0.87585,0.29201,0.2974,0.28973,0.32213,0.28652,0.3133,0.27431,0.25602,1.0,0.86087,0.24848,0.93289,0.87644,0.36484,0.31492,0.24481,0.3156,0.36673,0.25406,0.25921,0.25904,0.88418,0.27424,0.26417,0.94781,0.27176
8jxt.pdb,0.26768,0.29701,0.30038,0.30688,0.23348,0.30887,0.25225,0.27664,0.2733,0.25402,0.25485,0.8591,0.92669,0.27763,0.29657,0.29624,0.31338,0.29302,0.32834,0.27454,0.27275,0.86087,1.0,0.24955,0.82343,0.92947,0.3654,0.30013,0.23835,0.29717,0.37475,0.25588,0.27374,0.27274,0.9596,0.26463,0.25283,0.85366,0.25594
8tgk.pdb,0.22487,0.25241,0.24784,0.20007,0.25019,0.25709,0.2502,0.25729,0.25792,0.96956,0.25201,0.25445,0.24816,0.20253,0.20408,0.20339,0.20962,0.2085,0.27491,0.32638,0.25508,0.24848,0.24955,1.0,0.25078,0.25135,0.24978,0.24839,0.20779,0.24935,0.22138,0.25522,0.25198,0.25197,0.25302,0.33162,0.89554,0.25631,0.33782
8yn3.pdb,0.24114,0.29796,0.32124,0.31734,0.26495,0.31193,0.26126,0.25949,0.21914,0.25724,0.25559,0.94614,0.84811,0.30073,0.28522,0.30438,0.32152,0.29653,0.31693,0.27364,0.25656,0.93289,0.82343,0.25078,1.0,0.85274,0.34862,0.32132,0.24146,0.32484,0.36334,0.24979,0.25556,0.25878,0.85358,0.26906,0.26353,0.94805,0.26994
8yn9.pdb,0.22908,0.29898,0.31339,0.31088,0.25414,0.31305,0.27529,0.27232,0.27208,0.26186,0.27406,0.89138,0.98852,0.28957,0.30285,0.30355,0.31961,0.29902,0.33655,0.26479,0.26126,0.87644,0.92947,0.25135,0.85274,1.0,0.35865,0.31043,0.25172,0.31379,0.37388,0.28105,0.27242,0.27178,0.96391,0.24343,0.23915,0.87583,0.25824
1jqd.pdb,0.24277,0.3556,0.23944,0.2374,0.27889,0.26226,0.26221,0.26537,0.26515,0.21357,0.26516,0.35419,0.357,0.26099,0.25036,0.25098,0.23219,0.23547,0.27639,0.2691,0.25634,0.36484,0.3654,0.24978,0.34862,0.35865,1.0,0.2477,0.24607,0.2319,0.36136,0.2667,0.26706,0.26271,0.35919,0.25632,0.23665,0.3656,0.27408
1qft.pdb,0.28388,0.24412,0.99963,0.7499,0.30687,0.36352,0.24077,0.22817,0.22739,0.24855,0.22663,0.31834,0.26624,0.64267,0.64854,0.64539,0.73799,0.63404,0.25047,0.23303,0.20877,0.31492,0.30013,0.24839,0.32132,0.31043,0.2477,1.0,0.29857,0.98624,0.35151,0.24175,0.22962,0.19808,0.31398,0.22151,0.24623,0.31779,0.2321
2qeb.pdb,0.27287,0.23086,0.30262,0.31027,0.25716,0.31071,0.21856,0.21259,0.21988,0.24047,0.21678,0.25201,0.24843,0.29566,0.28968,0.29076,0.31049,0.26373,0.24258,0.27477,0.20499,0.24481,0.23835,0.20779,0.24146,0.25172,0.24607,0.29857,1.0,0.30795,0.30749,0.21187,0.20617,0.19446,0.25178,0.27087,0.23148,0.25614,0.25851
3g7x.pdb,0.27574,0.23284,0.98628,0.76099,0.31841,0.36642,0.24286,0.20789,0.21075,0.25039,0.21015,0.31869,0.31146,0.64893,0.65422,0.6512,0.74863,0.63903,0.25891,0.23605,0.23571,0.3156,0.29717,0.24935,0.32484,0.31379,0.2319,0.98624,0.30795,1.0,0.35695,0.23051,0.23203,0.23148,0.31257,0.23417,0.2516,0.32119,0.21832
5rus.pdb,0.30042,0.25792,0.35341,0.34965,0.29598,0.3597,0.20816,0.23055,0.23279,0.21427,0.20658,0.36796,0.37364,0.33583,0.33774,0.33834,0.35113,0.34579,0.25016,0.25028,0.23101,0.36673,0.37475,0.22138,0.36334,0.37388,0.36136,0.35151,0.30749,0.35695,1.0,0.2312,0.22599,0.23695,0.37679,0.24744,0.20435,0.38194,0.23578
6qfa.pdb,0.25093,0.24148,0.23575,0.19863,0.2226,0.24858,0.99646,0.98315,0.98247,0.25628,0.99445,0.25307,0.27871,0.22578,0.22673,0.22699,0.21861,0.22915,0.24589,0.28966,0.95062,0.25406,0.25588,0.25522,0.24979,0.28105,0.2667,0.24175,0.21187,0.23051,0.2312,1.0,0.96427,0.96347,0.27986,0.27293,0.23213,0.25627,0.2362
7qn7.pdb,0.25386,0.24328,0.23253,0.24351,0.22059,0.24511,0.96298,0.96481,0.96559,0.25465,0.9635,0.26118,0.27073,0.22609,0.22465,0.22064,0.21988,0.22089,0.25695,0.29588,0.97983,0.25921,0.27374,0.25198,0.25556,0.27242,0.26706,0.22962,0.20617,0.23203,0.22599,0.96427,1.0,0.99919,0.24987,0.25945,0.22605,0.26155,0.27252
7qnc.pdb,0.2543,0.23895,0.20315,0.21449,0.21645,0.24552,0.96252,0.965,0.96586,0.25459,0.96352,0.26102,0.26827,0.22434,0.22,0.21886,0.22099,0.20721,0.25268,0.29595,0.98127,0.25904,0.27274,0.25197,0.25878,0.27178,0.26271,0.19808,0.19446,0.23148,0.23695,0.96347,0.99919,1.0,0.25799,0.2596,0.22355,0.25698,0.28278
8hn8.pdb,0.23646,0.30114,0.31489,0.31099,0.24779,0.29942,0.24879,0.27482,0.27588,0.25424,0.24899,0.89341,0.95334,0.30062,0.28969,0.30353,0.32365,0.28576,0.33248,0.26349,0.22798,0.88418,0.9596,0.25302,0.85358,0.96391,0.35919,0.31398,0.25178,0.31257,0.37679,0.27986,0.24987,0.25799,1.0,0.25177,0.26135,0.88362,0.24916
8pok.pdb,0.25231,0.22268,0.21775,0.21617,0.23986,0.26752,0.27361,0.2723,0.27094,0.32383,0.27073,0.26743,0.24445,0.22251,0.22642,0.22363,0.20588,0.23153,0.26003,0.85089,0.26519,0.27424,0.26463,0.33162,0.26906,0.24343,0.25632,0.22151,0.27087,0.23417,0.24744,0.27293,0.25945,0.2596,0.25177,1.0,0.34979,0.27018,0.8616
8ucn.pdb,0.24077,0.25697,0.25113,0.20566,0.23074,0.23517,0.23134,0.22913,0.22894,0.89249,0.23358,0.25961,0.25147,0.21832,0.21735,0.22579,0.21363,0.21016,0.26938,0.34385,0.22705,0.26417,0.25283,0.89554,0.26353,0.23915,0.23665,0.24623,0.23148,0.2516,0.20435,0.23213,0.22605,0.22355,0.26135,0.34979,1.0,0.25272,0.33816
8yn4.pdb,0.236,0.30561,0.31806,0.32091,0.27898,0.31062,0.26613,0.25597,0.25493,0.25415,0.26182,0.97847,0.86548,0.28971,0.27668,0.29849,0.32173,0.29806,0.30684,0.27358,0.25479,0.94781,0.85366,0.25631,0.94805,0.87583,0.3656,0.31779,0.25614,0.32119,0.38194,0.25627,0.26155,0.25698,0.88362,0.27018,0.25272,1.0,0.26899
8yuu.pdb,0.25752,0.20842,0.23761,0.21456,0.25434,0.28288,0.21901,0.23678,0.23576,0.33208,0.23849,0.24702,0.25993,0.23173,0.22687,0.22926,0.21579,0.2311,0.27744,0.89328,0.27764,0.27176,0.25594,0.33782,0.26994,0.25824,0.27408,0.2321,0.25851,0.21832,0.23578,0.2362,0.27252,0.28278,0.24916,0.8616,0.33816,0.26899,1.0
